Combined categories,p_5mM.p_0mM___log2FoldChange
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.236023811
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.064859879
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.9012557
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.5587002
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.089171342
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.55744982
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.6646429
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.7235873
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.1442543
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.8179102
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.055443744
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.852875814
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.915718975
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.242816405
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.037942425
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.4726991
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.7012012
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.2751971
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.382059564
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.255426805
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.326757641
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.976639367
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.019831907
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.602546989
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.2754643
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.7116754
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.8926522
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.2081403
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.439990654
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.221462057
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.121302166
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.563037
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.116570257
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.032441
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.218109
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.3604197
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.3165559
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.631801
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.2907845
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.975618
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.106913916
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.095237364
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.005201782
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-3.122696
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.005291828
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.3728105
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.925467539
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.158265595
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-2.806123
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.78469978
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.965292305
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.744761073
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.6356068
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.7578428
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.1724972
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.5232561
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.287375
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.277603
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.182342
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.45559327
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.193990991
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.2688903
"DNA replication, recombination, modification and repair",2.368619518
"DNA replication, recombination, modification and repair",2.540165378
Transport,4.016069518
Transport,1.612809424
Transport,1.400895239
Transport,1.178443
Transport,1.125199742
Transport,1.447504801
Transport,1.104118086
Transport,1.244789
Transport,3.759227895
Transport,2.347689158
Transport,1.255770507
Transport,1.737070642
Transport,2.433674563
Transport,-1.038893944
Transport,-1.402135907
Transport,0.06742958
Transport,-1.564373298
Transport,-0.514239675
Transport,0.909348501
Transport,-1.041953291
Transport,-1.109656824
Transport,-1.918697699
Transport,-1.269443788
Transport,0.07330994
Transport,-1.300175955
Transport,-1.170943154
Transport,-1.178870914
Transport,-1.967760425
Transport,-1.035437818
Transport,-1.206009
Transport,-2.594825
Transport,-1.577664
Transport,-0.068063637
Transport,0.6082476
Transport,-9.310987442
Transport,-0.15896338
Transport,-1.497767084
Transport,-1.157438896
Transport,-1.225241364
Transport,0.1219853
Transport,0.6725065
Transport,-1.469056898
Transport,-1.672685
"Translation, protein folding and secretion",1.051821
"Translation, protein folding and secretion",1.876261
"Translation, protein folding and secretion",1.212934
"Translation, protein folding and secretion",1.125845
"Translation, protein folding and secretion",2.290948404
"Translation, protein folding and secretion",1.376025
"Translation, protein folding and secretion",1.492547
"Translation, protein folding and secretion",3.454586545
"Translation, protein folding and secretion",2.045693
"Translation, protein folding and secretion",1.177860923
"Translation, protein folding and secretion",3.204877375
"Translation, protein folding and secretion",1.055356987
"Translation, protein folding and secretion",1.509402
"Translation, protein folding and secretion",2.683161
"Translation, protein folding and secretion",1.093735263
"Translation, protein folding and secretion",2.391220182
"Translation, protein folding and secretion",1.836891
"Translation, protein folding and secretion",1.998456
"Translation, protein folding and secretion",1.296082
"Translation, protein folding and secretion",-0.5451354
"Translation, protein folding and secretion",0.249217
"Translation, protein folding and secretion",0.535557325
"Translation, protein folding and secretion",-0.7005954
"Translation, protein folding and secretion",0.48895825
"Translation, protein folding and secretion",-0.908149981
"Translation, protein folding and secretion",-0.225072526
"Translation, protein folding and secretion",-0.5791251
"Translation, protein folding and secretion",-0.5512017
"Translation, protein folding and secretion",0.493309191
"Translation, protein folding and secretion",0.01249309
"Translation, protein folding and secretion",-0.543788063
"Translation, protein folding and secretion",0.63436663
"Translation, protein folding and secretion",-0.4997134
"Translation, protein folding and secretion",0.8148019
"Translation, protein folding and secretion",-0.727563438
"Translation, protein folding and secretion",-0.166254377
"Translation, protein folding and secretion",-0.7244571
"Translation, protein folding and secretion",-0.4668189
"Translation, protein folding and secretion",0.07713441
"Translation, protein folding and secretion",0.288618777
"Translation, protein folding and secretion",-2.173494354
"Translation, protein folding and secretion",-0.320257408
"Translation, protein folding and secretion",0.994362781
"Translation, protein folding and secretion",-0.062355086
"Translation, protein folding and secretion",-0.159656618
"Translation, protein folding and secretion",-0.6606629
"Translation, protein folding and secretion",0.6582769
"Translation, protein folding and secretion",-2.256298101
"Translation, protein folding and secretion",-0.2402169
"Translation, protein folding and secretion",-0.378646392
"Translation, protein folding and secretion",0.4286919
"Translation, protein folding and secretion",-1.174581747
"Translation, protein folding and secretion",0.225676074
"Translation, protein folding and secretion",0.651013
"Translation, protein folding and secretion",-0.04583125
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.239815
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.389770294
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.457352033
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.163727478
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,2.093357818
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.200733672
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.04237446
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,7.036096395
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.139918204
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.349123332
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,2.011414383
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.796455497
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.256923066
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,2.503183334
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.10160903
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.670186
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.026115
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.298204
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.932755
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.079278
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,3.984138
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.183665493
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.085231306
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.115070009
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.710018
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.059654
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,2.039686
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-2.165220718
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.068125275
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.439367851
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.003265169
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.854087826
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.441969499
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.1514011
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.6531805
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.8895207
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.022641168
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.256238514
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.054024343
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-2.486281745
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.132580921
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-2.62843279
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.104180347
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.145685566
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.766133237
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.590671
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.4758
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.014052
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.000623
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-2.04896
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.44342112
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.471819
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.353800738
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-3.547211
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.000099269
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.326160661
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.2656325
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.828321902
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.1457165
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.888503
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",2.459727686
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",5.696793755
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",2.576925791
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.008031454
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.186815084
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.061821006
