Combined categories,p_5mM.p_0mM___log2FoldChange
Energy metabolism,-1.27490787
Cell wall/LPS/membrane proteins/phospholipid,0.8250393
Cell wall/LPS/membrane proteins/phospholipid,0.979168448
Cell wall/LPS/membrane proteins/phospholipid,0.818753412
Cell wall/LPS/membrane proteins/phospholipid,-0.2815227
"Stresses (oxidative, heat, cold, osmotic)",1.458484391
"Stresses (oxidative, heat, cold, osmotic)",-1.845455976
"Stresses (oxidative, heat, cold, osmotic)",-1.611942293
"Stresses (oxidative, heat, cold, osmotic)",-2.255300767
"Stresses (oxidative, heat, cold, osmotic)",-1.171043
"Stresses (oxidative, heat, cold, osmotic)",-1.24537
"Stresses (oxidative, heat, cold, osmotic)",-1.359425
"Stresses (oxidative, heat, cold, osmotic)",-1.908182
"Stresses (oxidative, heat, cold, osmotic)",-1.08183
"Stresses (oxidative, heat, cold, osmotic)",0.567904474
"Stresses (oxidative, heat, cold, osmotic)",-1.0538021
"Stresses (oxidative, heat, cold, osmotic)",-3.490172
Cell wall/LPS/membrane proteins/phospholipid,0.713521761
Nucleotide transport and metabolism,-0.187919604
Nucleotide transport and metabolism,1.709437788
Nucleotide transport and metabolism,1.008855
Nucleotide transport and metabolism,1.205403
Nucleotide transport and metabolism,1.516027
Nucleotide transport and metabolism,1.551453764
Nucleotide transport and metabolism,1.065212
Nucleotide transport and metabolism,1.203035
Nucleotide transport and metabolism,1.908530169
Nucleotide transport and metabolism,1.000925794
Nucleotide transport and metabolism,1.703741203
Nucleotide transport and metabolism,1.468985102
Nucleotide transport and metabolism,1.209638
Nucleotide transport and metabolism,-0.2083894
Nucleotide transport and metabolism,-0.5021106
Nucleotide transport and metabolism,0.330018802
Nucleotide transport and metabolism,0.359113547
Nucleotide transport and metabolism,0.070106164
Nucleotide transport and metabolism,0.691272729
Nucleotide transport and metabolism,-2.45606665
Nucleotide transport and metabolism,-1.484701664
Nucleotide transport and metabolism,-1.293939725
Nucleotide transport and metabolism,-0.947485565
Nucleotide transport and metabolism,-0.657044276
Nucleotide transport and metabolism,0.5603928
Nucleotide transport and metabolism,-0.7615327
Nucleotide transport and metabolism,-0.4879376
Nucleotide transport and metabolism,0.2960212
Nucleotide transport and metabolism,0.166085315
Nucleotide transport and metabolism,0.7478037
Nucleotide transport and metabolism,-0.4792455
Nucleotide transport and metabolism,0.968104056
Nucleotide transport and metabolism,0.5350014
Nucleotide transport and metabolism,0.7170493
Nucleotide transport and metabolism,-0.342032477
Nucleotide transport and metabolism,-0.472752686
Nucleotide transport and metabolism,0.339846791
Nucleotide transport and metabolism,-0.05099705
Nucleotide transport and metabolism,-0.3901701
Nucleotide transport and metabolism,-0.5770277
Nucleotide transport and metabolism,0.1075517
Nucleotide transport and metabolism,-0.2987233
Nucleotide transport and metabolism,-0.152491033
Nucleotide transport and metabolism,-0.547637185
Nucleotide transport and metabolism,0.1761692
Nucleotide transport and metabolism,-0.638567016
Nucleotide transport and metabolism,0.683314651
Nucleotide transport and metabolism,0.08363108
Nucleotide transport and metabolism,-0.2723019
Nucleotide transport and metabolism,0.6174132
Nucleotide transport and metabolism,-0.194472743
Nucleotide transport and metabolism,-0.226282547
Nucleotide transport and metabolism,0.182365611
Nucleotide transport and metabolism,-0.1828231
Nucleotide transport and metabolism,-1.401565808
Nucleotide transport and metabolism,-0.77701274
Nucleotide transport and metabolism,0.216348513
Nucleotide transport and metabolism,-1.259591
Nucleotide transport and metabolism,-0.9165125
Nucleotide transport and metabolism,-0.387764718
Nucleotide transport and metabolism,-0.6504617
Nucleotide transport and metabolism,-0.321190699
Nucleotide transport and metabolism,-1.004547956
Nucleotide transport and metabolism,0.359229471
Nitrogen metabolism,1.139953279
Nitrogen metabolism,1.10948
Nitrogen metabolism,1.292676844
Nitrogen metabolism,1.599449409
Nitrogen metabolism,1.072059889
Nitrogen metabolism,-1.01334
Nitrogen metabolism,-1.367669
Nitrogen metabolism,0.78961658
Nitrogen metabolism,-0.3342775
Nitrogen metabolism,0.3349083
Nitrogen metabolism,0.1318669
Nitrogen metabolism,-0.865303451
Nitrogen metabolism,-0.2849464
Nitrogen metabolism,-0.037031705
Nitrogen metabolism,-0.2544423
Nitrogen metabolism,0.142672691
Nitrogen metabolism,-1.429025903
Nitrogen metabolism,-2.391191884
Nitrogen metabolism,-0.345108486
Nitrogen metabolism,-0.7490921
Nitrogen metabolism,-0.2034609
Nitrogen metabolism,0.263567448
Nitrogen metabolism,-0.076877776
Nitrogen metabolism,-0.555252444
Nitrogen metabolism,0.198980144
Nitrogen metabolism,0.012599643
Nitrogen metabolism,-0.03923797
Nitrogen metabolism,-1.842316022
Nitrogen metabolism,-0.416773334
Nitrogen metabolism,-0.348904812
Nitrogen metabolism,-1.558280585
Nitrogen metabolism,-0.01276866
Nitrogen metabolism,-1.121293805
Nitrogen metabolism,-1.956315714
Nitrogen metabolism,-0.1920213
Nitrogen metabolism,0.368783273
Nitrogen metabolism,0.161155826
Nitrogen metabolism,-0.49824439
Nitrogen metabolism,-0.07761691
Energy metabolism,-1.28127449
Energy metabolism,-1.035576719
Chemotaxis and Motility,1.229283
Chemotaxis and Motility,1.911704801
Chemotaxis and Motility,1.251763438
Chemotaxis and Motility,2.106911548
Chemotaxis and Motility,1.690417975
Chemotaxis and Motility,1.490767571
Chemotaxis and Motility,2.158107838
Chemotaxis and Motility,-1.154898
Chemotaxis and Motility,-0.5491534
Chemotaxis and Motility,0.4291606
Chemotaxis and Motility,-0.026453115
Chemotaxis and Motility,-0.9990704
Chemotaxis and Motility,-2.21398
Chemotaxis and Motility,-1.891808
Chemotaxis and Motility,-2.881011
Chemotaxis and Motility,-3.170437
Chemotaxis and Motility,-0.1013106
Chemotaxis and Motility,-0.05230521
Chemotaxis and Motility,-0.08905353
Chemotaxis and Motility,0.01472054
Chemotaxis and Motility,-0.5043351
Chemotaxis and Motility,-1.953995
Chemotaxis and Motility,-0.5114621
Chemotaxis and Motility,-2.168089
Chemotaxis and Motility,0.1712205
Chemotaxis and Motility,-0.2157377
Chemotaxis and Motility,-0.0147682
Chemotaxis and Motility,-1.146174
Chemotaxis and Motility,-1.666526761
Chemotaxis and Motility,-1.593972
Chemotaxis and Motility,0.707374497
Chemotaxis and Motility,0.215569133
Chemotaxis and Motility,-1.326872484
Chemotaxis and Motility,-0.361442495
Chemotaxis and Motility,-1.197214842
Chemotaxis and Motility,0.387102491
Chemotaxis and Motility,-1.302239
Chemotaxis and Motility,-0.453526934
Chemotaxis and Motility,-0.497416764
Chemotaxis and Motility,-0.125628581
Chemotaxis and Motility,-0.396941376
Chemotaxis and Motility,-0.569708079
Chemotaxis and Motility,0.158954265
Chemotaxis and Motility,-1.811050082
Chemotaxis and Motility,-1.183328319
Chemotaxis and Motility,-0.896796759
Chemotaxis and Motility,-0.465699183
Chemotaxis and Motility,-0.615710087
Chemotaxis and Motility,-0.184149196
Chemotaxis and Motility,-0.135818761
Chemotaxis and Motility,0.484441188
Chemotaxis and Motility,-0.105431877
Chemotaxis and Motility,-0.893104081
Chemotaxis and Motility,-0.760189581
Chemotaxis and Motility,-1.378258962
Chemotaxis and Motility,-0.331559999
Chemotaxis and Motility,-0.568610886
Chemotaxis and Motility,-0.364084898
Chemotaxis and Motility,0.713985611
Chemotaxis and Motility,0.887562336
Chemotaxis and Motility,-0.663279521
Chemotaxis and Motility,-1.326841924
Chemotaxis and Motility,-1.003328567
Chemotaxis and Motility,-0.653841501
Chemotaxis and Motility,0.988507143
Chemotaxis and Motility,-1.170577
Chemotaxis and Motility,-0.2330947
Transport,2.704795202
Transport,1.57920622
Transport,2.074809905
Transport,2.815053
Transport,2.269714
Transport,2.247773602
Transport,1.901915
Transport,-1.145296266
Transport,-1.003139
Transport,-1.602298
Transport,-1.153920181
Transport,-2.024458
Transport,-2.839140465
Transport,-1.02073339
Transport,-1.2059598
Transport,0.880453213
Transport,-1.667111185
Transport,-0.228006942
Transport,-0.666531
Transport,-6.994044
Cell wall/LPS/membrane proteins/phospholipid,-1.601103916
Cell wall/LPS/membrane proteins/phospholipid,0.1524489
Cell wall/LPS/membrane proteins/phospholipid,-0.715141887
Cell wall/LPS/membrane proteins/phospholipid,-2.127884924
Cell wall/LPS/membrane proteins/phospholipid,-1.063394
Cell wall/LPS/membrane proteins/phospholipid,-0.9917083
Cell wall/LPS/membrane proteins/phospholipid,0.1744196
Cell wall/LPS/membrane proteins/phospholipid,-1.334850207
Cell wall/LPS/membrane proteins/phospholipid,-1.266374947
Cell wall/LPS/membrane proteins/phospholipid,-2.200857291
Cell wall/LPS/membrane proteins/phospholipid,-1.050414118
Cell wall/LPS/membrane proteins/phospholipid,-1.453654
Cell wall/LPS/membrane proteins/phospholipid,2.128611562
Cell wall/LPS/membrane proteins/phospholipid,1.005866304
Cell wall/LPS/membrane proteins/phospholipid,3.275615326
Cell wall/LPS/membrane proteins/phospholipid,1.05492652
Cell wall/LPS/membrane proteins/phospholipid,1.2225
Cell wall/LPS/membrane proteins/phospholipid,1.264265
Cell wall/LPS/membrane proteins/phospholipid,1.127638
Cell wall/LPS/membrane proteins/phospholipid,-0.09979615
Cell wall/LPS/membrane proteins/phospholipid,0.001178151
Cell wall/LPS/membrane proteins/phospholipid,0.4191196
Cell wall/LPS/membrane proteins/phospholipid,0.162323408
Cell wall/LPS/membrane proteins/phospholipid,-0.163800734
Cell wall/LPS/membrane proteins/phospholipid,-0.04556764
Cell wall/LPS/membrane proteins/phospholipid,0.8143219
Cell wall/LPS/membrane proteins/phospholipid,-0.343684623
Cell wall/LPS/membrane proteins/phospholipid,-0.663098866
Cell wall/LPS/membrane proteins/phospholipid,-0.067801523
Cell wall/LPS/membrane proteins/phospholipid,0.907379339
Cell wall/LPS/membrane proteins/phospholipid,0.2395495
Cell wall/LPS/membrane proteins/phospholipid,-0.03606211
Cell wall/LPS/membrane proteins/phospholipid,0.08907238
Cell wall/LPS/membrane proteins/phospholipid,-0.03134254
Cell wall/LPS/membrane proteins/phospholipid,-0.145102783
Cell wall/LPS/membrane proteins/phospholipid,-1.122021635
Cell wall/LPS/membrane proteins/phospholipid,0.820307331
Cell wall/LPS/membrane proteins/phospholipid,-0.085018134
Cell wall/LPS/membrane proteins/phospholipid,0.2642674
Cell wall/LPS/membrane proteins/phospholipid,0.9763597
Cell wall/LPS/membrane proteins/phospholipid,-0.759770607
Cell wall/LPS/membrane proteins/phospholipid,-1.685796845
Cell wall/LPS/membrane proteins/phospholipid,-0.258933359
Cell wall/LPS/membrane proteins/phospholipid,0.7352793
Cell wall/LPS/membrane proteins/phospholipid,0.3609858
Cell wall/LPS/membrane proteins/phospholipid,-1.118473529
Cell wall/LPS/membrane proteins/phospholipid,0.04948646
Cell wall/LPS/membrane proteins/phospholipid,-0.00539252
Cell wall/LPS/membrane proteins/phospholipid,-0.49251
Cell wall/LPS/membrane proteins/phospholipid,-0.01210044
Cell wall/LPS/membrane proteins/phospholipid,-0.591169
Cell wall/LPS/membrane proteins/phospholipid,0.6736434
Cell wall/LPS/membrane proteins/phospholipid,0.1035091
Cell wall/LPS/membrane proteins/phospholipid,-0.406917286
Cell wall/LPS/membrane proteins/phospholipid,-0.3370433
Cell wall/LPS/membrane proteins/phospholipid,0.5596768
Cell wall/LPS/membrane proteins/phospholipid,0.5685511
Cell wall/LPS/membrane proteins/phospholipid,0.1548565
Cell wall/LPS/membrane proteins/phospholipid,-1.726330113
Cell wall/LPS/membrane proteins/phospholipid,-0.196826838
Cell wall/LPS/membrane proteins/phospholipid,-0.006595148
Cell wall/LPS/membrane proteins/phospholipid,0.6707739
Cell wall/LPS/membrane proteins/phospholipid,-1.101846
Cell wall/LPS/membrane proteins/phospholipid,-1.033322399
Cell wall/LPS/membrane proteins/phospholipid,-1.020409
Cell wall/LPS/membrane proteins/phospholipid,-1.153072202
Cell wall/LPS/membrane proteins/phospholipid,0.1398528
Cell wall/LPS/membrane proteins/phospholipid,0.544977907
Cell wall/LPS/membrane proteins/phospholipid,-0.207309546
Cell wall/LPS/membrane proteins/phospholipid,0.009033038
Cell wall/LPS/membrane proteins/phospholipid,-0.279049801
Fatty acid and lipid metabolism and transport,-1.150167139
Cell wall/LPS/membrane proteins/phospholipid,-3.45301102
Cell wall/LPS/membrane proteins/phospholipid,-1.074648711
Cell wall/LPS/membrane proteins/phospholipid,-4.654290352
Cell wall/LPS/membrane proteins/phospholipid,-5.668977968
Cell wall/LPS/membrane proteins/phospholipid,-5.595782206
Cell wall/LPS/membrane proteins/phospholipid,-4.703775079
Phosphate and phosphonate metabolism and transport,0.580869433
Phosphate and phosphonate metabolism and transport,-2.374843517
Phosphate and phosphonate metabolism and transport,-2.872195
Sulfur metabolism,-0.3908928
Sulfur metabolism,-0.2462905
Sulfur metabolism,0.3750443
Sulfur metabolism,-0.022935502
Sulfur metabolism,-0.3632759
Iron uptake,7.35530691
Iron uptake,4.677658799
Iron uptake,3.782822926
Iron uptake,5.092513681
Iron uptake,2.393854486
Iron uptake,2.246528286
Iron uptake,4.536873164
Iron uptake,5.371269112
Iron uptake,4.202495343
Iron uptake,5.196480687
Iron uptake,5.232420236
Iron uptake,3.272649289
Iron uptake,6.640469762
Iron uptake,5.85681659
Iron uptake,6.128948204
Iron uptake,2.139358659
Iron uptake,8.360675657
Iron uptake,4.437337182
Iron uptake,3.675284234
Iron uptake,5.042034853
Iron uptake,3.160336183
Iron uptake,4.107514214
Iron uptake,4.620512013
Iron uptake,2.238777408
Iron uptake,2.829593713
Iron uptake,3.811375368
Iron uptake,3.252137851
Iron uptake,4.693891519
Iron uptake,4.91708602
Iron uptake,6.102143
Iron uptake,1.00469
Iron uptake,1.287694
Iron uptake,1.290807
Iron uptake,1.848296
Iron uptake,2.546957
Iron uptake,2.077488
Iron uptake,1.220498
Iron uptake,2.978099
Iron uptake,1.823478
Iron uptake,0.5125978
Hypothetical protein,-3.11144
Hypothetical protein,0.856134426
Hypothetical protein,0.792065116
Hypothetical protein,-0.116626089
Hypothetical protein,0.573257596
Hypothetical protein,0.418886661
Hypothetical protein,0.587742802
Hypothetical protein,-0.019894151
Hypothetical protein,0.096886562
Hypothetical protein,-0.909509579
Hypothetical protein,0.256581751
Hypothetical protein,0.685878643
Hypothetical protein,-0.249792846
Hypothetical protein,-0.213863379
Hypothetical protein,0.031936194
Hypothetical protein,0.67204986
Hypothetical protein,0.175871062
Hypothetical protein,-0.537533518
Hypothetical protein,-0.256536583
Hypothetical protein,-0.666892909
Hypothetical protein,-0.03040971
Hypothetical protein,0.857463063
Hypothetical protein,-0.345491976
Hypothetical protein,-0.217577026
Hypothetical protein,0.496780492
Hypothetical protein,0.145733216
Hypothetical protein,0.432532426
Hypothetical protein,-0.71836303
Hypothetical protein,0.00141768
Hypothetical protein,0.745947762
Hypothetical protein,-0.599097563
Hypothetical protein,0.311936458
Hypothetical protein,0.087501873
Hypothetical protein,-0.048509614
Hypothetical protein,0.357775378
Hypothetical protein,0.027604205
Hypothetical protein,0.168268552
Hypothetical protein,-0.042107405
Hypothetical protein,0.308777235
Hypothetical protein,-0.626748227
Hypothetical protein,-0.57797098
Hypothetical protein,0.262531735
Hypothetical protein,-0.487250464
Hypothetical protein,0.031006718
Hypothetical protein,0.50896921
Hypothetical protein,-0.168802255
Hypothetical protein,0.744588797
Hypothetical protein,0.374122233
Hypothetical protein,-0.247303466
Hypothetical protein,0.665857403
Hypothetical protein,-0.246323347
Hypothetical protein,0.709353804
Hypothetical protein,0.009781744
Hypothetical protein,-0.524433122
Hypothetical protein,0.182164611
Hypothetical protein,0.083812324
Hypothetical protein,0.194277066
Hypothetical protein,0.24503509
Hypothetical protein,-0.175786079
Hypothetical protein,-0.223687696
Hypothetical protein,-0.202253431
Hypothetical protein,0.095680749
Hypothetical protein,0.279379913
Hypothetical protein,-0.015361288
Hypothetical protein,-0.997648746
Hypothetical protein,0.326438429
Hypothetical protein,-0.232772675
Hypothetical protein,0.685094128
Hypothetical protein,0.790595871
Hypothetical protein,-0.282095863
Hypothetical protein,0.211206008
Hypothetical protein,0.430055264
Hypothetical protein,-0.66403073
Hypothetical protein,-0.317508918
Hypothetical protein,0.815925601
Hypothetical protein,-0.751716755
Hypothetical protein,-0.590014115
Hypothetical protein,0.22726297
Hypothetical protein,-0.833856544
Hypothetical protein,-0.794695163
Hypothetical protein,-0.626266545
Hypothetical protein,-0.243605666
Hypothetical protein,-0.545140503
Hypothetical protein,-0.331267017
Hypothetical protein,0.648608151
Hypothetical protein,-0.046307492
Hypothetical protein,-0.038348074
Hypothetical protein,0.264897764
Hypothetical protein,-0.522443398
Hypothetical protein,-0.459029313
Hypothetical protein,0.516650782
Hypothetical protein,-0.311761515
Hypothetical protein,-0.743409913
Hypothetical protein,-0.489134854
Hypothetical protein,0.150685501
Hypothetical protein,0.725286895
Hypothetical protein,0.415030738
Hypothetical protein,0.62370399
Hypothetical protein,-0.531252387
Hypothetical protein,0.212431751
Hypothetical protein,0.58811118
Hypothetical protein,0.21304534
Hypothetical protein,-0.799638227
Hypothetical protein,-0.870339032
Hypothetical protein,0.791076262
Hypothetical protein,0.947421079
Hypothetical protein,0.92225134
Hypothetical protein,0.817890177
Hypothetical protein,0.809323877
Hypothetical protein,0.427276746
Hypothetical protein,0.540896583
Hypothetical protein,0.123376592
Hypothetical protein,-0.238008174
Hypothetical protein,-0.142894162
Hypothetical protein,0.757718181
Hypothetical protein,0.873176388
Hypothetical protein,0.451016239
Hypothetical protein,0.651121044
Hypothetical protein,0.373435072
Hypothetical protein,0.755534623
Hypothetical protein,0.111746228
Hypothetical protein,0.1578926
Hypothetical protein,-0.174600786
Hypothetical protein,-0.232976905
Hypothetical protein,-0.571952683
Hypothetical protein,-0.035581729
Hypothetical protein,0.100205259
Hypothetical protein,0.073610093
Hypothetical protein,-0.156173936
Hypothetical protein,0.283320887
Hypothetical protein,-0.091438131
Hypothetical protein,-0.904494245
Hypothetical protein,-0.806871423
Hypothetical protein,0.225378434
Hypothetical protein,-0.553201661
Hypothetical protein,0.486364611
Hypothetical protein,0.737284662
Hypothetical protein,-0.626904297
Hypothetical protein,-0.919414697
Hypothetical protein,-0.025144346
Hypothetical protein,-0.512220329
Hypothetical protein,0.398195956
Hypothetical protein,-0.212425471
Hypothetical protein,-0.249413668
Hypothetical protein,0.144144801
Hypothetical protein,-0.210358276
Hypothetical protein,0.544374078
Hypothetical protein,0.256384887
Hypothetical protein,-0.313482893
Hypothetical protein,0.52737469
Hypothetical protein,0.325741762
Hypothetical protein,0.202127344
Hypothetical protein,0.823074925
Hypothetical protein,-0.311870615
Hypothetical protein,-0.051555469
Hypothetical protein,0.674863011
Hypothetical protein,0.375578148
Hypothetical protein,0.283275936
Hypothetical protein,0.35009163
Hypothetical protein,-0.401135725
Hypothetical protein,0.706701788
Hypothetical protein,-0.601134685
Hypothetical protein,-0.398186618
Hypothetical protein,-0.188570129
Hypothetical protein,-0.024107552
Hypothetical protein,0.003156923
Hypothetical protein,-0.325962527
Hypothetical protein,-0.32633811
Hypothetical protein,0.183246561
Hypothetical protein,0.663940474
Hypothetical protein,-0.722244175
Hypothetical protein,0.371041748
Hypothetical protein,0.211943683
Hypothetical protein,-0.102158187
Hypothetical protein,-0.955041152
Hypothetical protein,0.089185918
Hypothetical protein,0.464984123
Hypothetical protein,-0.391966866
Hypothetical protein,0.335972349
Hypothetical protein,-0.234538441
Hypothetical protein,-0.068319293
Hypothetical protein,0.792688588
Hypothetical protein,0.991301056
Hypothetical protein,-0.096570894
Hypothetical protein,-0.841636115
Hypothetical protein,0.910766842
Hypothetical protein,0.764379349
Hypothetical protein,-0.120411872
Hypothetical protein,0.348464724
Hypothetical protein,0.002490147
Hypothetical protein,0.769634881
Hypothetical protein,0.33544805
Hypothetical protein,0.384615755
Hypothetical protein,-0.805802069
Hypothetical protein,-0.342679094
Hypothetical protein,0.513700174
Hypothetical protein,0.327290572
Hypothetical protein,0.39656332
Hypothetical protein,0.634285299
Hypothetical protein,-0.210868443
Hypothetical protein,-0.058082849
Hypothetical protein,0.43975383
Hypothetical protein,0.313266557
Hypothetical protein,-0.40425153
Hypothetical protein,-0.448671166
Hypothetical protein,0.233174469
Hypothetical protein,0.050203731
Hypothetical protein,-0.055080455
Hypothetical protein,0.252979326
Hypothetical protein,-0.364860132
Hypothetical protein,0.049449437
Hypothetical protein,-0.597349021
Hypothetical protein,0.176872554
Hypothetical protein,-0.034006224
Hypothetical protein,0.10199048
Hypothetical protein,0.226274459
Hypothetical protein,-0.203251557
Hypothetical protein,-0.299870514
Hypothetical protein,-0.77246055
Hypothetical protein,0.031478769
Hypothetical protein,-0.134685721
Hypothetical protein,-0.697531709
Hypothetical protein,-0.428490115
Hypothetical protein,0.056189073
Hypothetical protein,-0.112321279
Hypothetical protein,-0.804010022
Hypothetical protein,-0.293187307
Hypothetical protein,0.3308375
Hypothetical protein,-0.087872908
Hypothetical protein,0.460681467
Hypothetical protein,-0.853749398
Hypothetical protein,-0.214522881
Hypothetical protein,-0.402694757
Hypothetical protein,0.289774524
Hypothetical protein,-0.072848175
Hypothetical protein,-0.59691808
Hypothetical protein,-0.64555124
Hypothetical protein,-0.37967754
Hypothetical protein,0.754864204
Hypothetical protein,-0.816398825
Hypothetical protein,-0.552121725
Hypothetical protein,0.050388443
Hypothetical protein,-0.89664466
Hypothetical protein,0.5890367
Hypothetical protein,0.157162198
Hypothetical protein,0.132475345
Hypothetical protein,-0.117047895
Hypothetical protein,-0.773509161
Hypothetical protein,0.491060058
Hypothetical protein,0.400720054
Hypothetical protein,0.885277379
Hypothetical protein,0.076171403
Hypothetical protein,0.411754182
Hypothetical protein,0.039023525
Hypothetical protein,0.306275875
Hypothetical protein,0.388362975
Hypothetical protein,0.412423254
Hypothetical protein,-0.804182738
Hypothetical protein,-0.662090314
Hypothetical protein,-0.164397543
Hypothetical protein,-0.12018448
Hypothetical protein,-0.225245871
Hypothetical protein,-0.057401093
Hypothetical protein,-0.588285721
Hypothetical protein,-0.935587607
Hypothetical protein,0.196844257
Hypothetical protein,0.684366004
Hypothetical protein,0.590881731
Hypothetical protein,0.097492928
Hypothetical protein,-0.663136445
Hypothetical protein,-0.123623086
Hypothetical protein,0.421407074
Hypothetical protein,-0.067203507
Hypothetical protein,-0.041823931
Hypothetical protein,-0.63269349
Hypothetical protein,-0.350758016
Hypothetical protein,0.55312218
Hypothetical protein,0.184254787
Hypothetical protein,-0.408100848
Hypothetical protein,0.742651034
Hypothetical protein,-0.551340901
Hypothetical protein,-0.209888852
Hypothetical protein,-0.912298233
Hypothetical protein,0.482973524
Hypothetical protein,0.178481866
Hypothetical protein,0.449970036
Hypothetical protein,-0.04961696
Hypothetical protein,0.29023307
Hypothetical protein,-0.303474326
Hypothetical protein,0.015650152
Hypothetical protein,-0.844816877
Hypothetical protein,0.020288269
Hypothetical protein,0.915816418
Hypothetical protein,-0.190434563
Hypothetical protein,0.121226982
Hypothetical protein,-0.017505666
Hypothetical protein,-0.298583412
Hypothetical protein,0.356311813
Hypothetical protein,-0.844412425
Hypothetical protein,-0.050953374
Hypothetical protein,-0.023085453
Hypothetical protein,-0.979401388
Hypothetical protein,0.884725063
Hypothetical protein,0.771817527
Hypothetical protein,0.283076441
Hypothetical protein,-0.113476756
Hypothetical protein,-0.683078048
Hypothetical protein,0.438262086
Hypothetical protein,-0.465276957
Hypothetical protein,0.089092165
Hypothetical protein,-0.307324559
Hypothetical protein,-0.495843668
Hypothetical protein,0.524968313
Hypothetical protein,-0.240657825
Hypothetical protein,0.610426896
Hypothetical protein,-0.63730879
Hypothetical protein,0.211312001
Hypothetical protein,-0.276294468
Hypothetical protein,-0.215312269
Hypothetical protein,-0.456060901
Hypothetical protein,-0.339467242
Hypothetical protein,0.085780431
Hypothetical protein,0.216104462
Hypothetical protein,-0.134249791
Hypothetical protein,0.468946066
Hypothetical protein,0.144926419
Hypothetical protein,0.079787747
Hypothetical protein,0.022355222
Hypothetical protein,0.254126434
Hypothetical protein,-0.170894043
Hypothetical protein,-0.079730713
Hypothetical protein,-0.631576221
Hypothetical protein,0.816914018
Hypothetical protein,-0.94004985
Hypothetical protein,-0.900897237
Hypothetical protein,0.886102658
Hypothetical protein,0.884543508
Hypothetical protein,-0.332878314
Hypothetical protein,-0.036361668
Hypothetical protein,0.311278861
Hypothetical protein,-0.0763968
Hypothetical protein,-0.814654528
Hypothetical protein,0.476973542
Hypothetical protein,-0.270740169
Hypothetical protein,0.055452354
Hypothetical protein,-0.725204106
Hypothetical protein,-0.76085156
Hypothetical protein,-0.075017239
Hypothetical protein,-0.16607793
Hypothetical protein,-0.990562167
Hypothetical protein,0.098005097
Hypothetical protein,-0.624741371
Hypothetical protein,-0.641782423
Hypothetical protein,-0.117736249
Hypothetical protein,0.239953099
Hypothetical protein,0.223182062
Hypothetical protein,-0.405396213
Hypothetical protein,-0.871705857
Hypothetical protein,-0.964349333
Hypothetical protein,0.317752022
Hypothetical protein,0.824759532
Hypothetical protein,-0.540942777
Hypothetical protein,-0.310989588
Hypothetical protein,-0.201244694
Hypothetical protein,-0.357499843
Hypothetical protein,0.193393977
Hypothetical protein,-0.241865658
Hypothetical protein,-0.419193834
Hypothetical protein,-0.663036519
Hypothetical protein,0.084198359
Hypothetical protein,-0.327103229
Hypothetical protein,0.411766857
Hypothetical protein,-0.427384894
Hypothetical protein,-0.695218248
Hypothetical protein,-0.199666298
Hypothetical protein,-0.484450087
Hypothetical protein,-0.91603656
Hypothetical protein,-0.994174416
Hypothetical protein,0.290562873
Hypothetical protein,0.344195867
Hypothetical protein,-0.033150712
Hypothetical protein,0.218489522
Hypothetical protein,-0.575345455
Hypothetical protein,-0.159795813
Hypothetical protein,0.4500078
Hypothetical protein,-0.475933996
Hypothetical protein,0.253520818
Hypothetical protein,-0.231808104
Hypothetical protein,0.375712719
Hypothetical protein,0.584950118
Hypothetical protein,0.315688212
Hypothetical protein,-0.554107983
Hypothetical protein,-0.667489232
Hypothetical protein,-0.047667379
Hypothetical protein,0.009612262
Hypothetical protein,0.226819915
Hypothetical protein,-0.145431031
Hypothetical protein,0.617177795
Hypothetical protein,-0.892559101
Hypothetical protein,0.562398963
Hypothetical protein,0.351072332
Hypothetical protein,0.11647045
Hypothetical protein,-0.88882834
Hypothetical protein,-0.352668526
Hypothetical protein,-0.305959471
Hypothetical protein,0.176745011
Hypothetical protein,-0.222863572
Hypothetical protein,0.478908003
Hypothetical protein,0.135436274
Hypothetical protein,-0.298733021
Hypothetical protein,-0.163780337
Hypothetical protein,0.783735824
Hypothetical protein,-0.91594195
Hypothetical protein,-0.818695639
Hypothetical protein,0.457314089
Hypothetical protein,0.329882355
Hypothetical protein,0.97019562
Hypothetical protein,0.474910256
Hypothetical protein,-0.650007908
Hypothetical protein,0.433029799
Hypothetical protein,-0.31225141
Hypothetical protein,-0.748528012
Hypothetical protein,0.300020347
Hypothetical protein,-0.64743677
Hypothetical protein,0.716265335
Hypothetical protein,0.089770149
Hypothetical protein,0.315272106
Hypothetical protein,0.82149053
Hypothetical protein,0.287560156
Hypothetical protein,-0.700469448
Hypothetical protein,-0.850304863
Hypothetical protein,-0.623581707
Hypothetical protein,-0.821751865
Hypothetical protein,0.986068961
Hypothetical protein,0.680745499
Hypothetical protein,0.66812135
Hypothetical protein,0.203631695
Hypothetical protein,0.787513447
Hypothetical protein,0.372842836
Hypothetical protein,-0.3842254
Hypothetical protein,0.880594892
Hypothetical protein,-0.262079972
Hypothetical protein,-0.730705843
Hypothetical protein,-0.536849751
Hypothetical protein,-0.622293148
Hypothetical protein,0.542696201
Hypothetical protein,-0.684549912
Hypothetical protein,0.567994482
Hypothetical protein,0.492392714
Hypothetical protein,0.452581417
Hypothetical protein,-0.217823568
Hypothetical protein,-0.646841361
Hypothetical protein,0.422141335
